DONG_CD,STATS_VL,STATS_VL_2,YR,CTPV_NM,SGG_NM,EMD_NM,SGG_CD,STATS_VL_DIVIDED
4800000000,366471.0,157.0,2008,경상남도,,,48000.0,2334.2101910828023
4812000000,81692.0,52.0,2008,경상남도,창원시,,48120.0,1571.0
4817000000,36250.0,17.0,2008,경상남도,진주시,,48170.0,2132.3529411764707
4822000000,15665.0,6.0,2008,경상남도,통영시,,48220.0,2610.8333333333335
4824000000,16950.0,7.0,2008,경상남도,사천시,,48240.0,2421.4285714285716
4825000000,32630.0,24.0,2008,경상남도,김해시,,48250.0,1359.5833333333333
4827000000,20735.0,7.0,2008,경상남도,밀양시,,48270.0,2962.1428571428573
4831000000,15784.0,8.0,2008,경상남도,거제시,,48310.0,1973.0
4833000000,19969.0,14.0,2008,경상남도,양산시,,48330.0,1426.357142857143
4872000000,9141.0,3.0,2008,경상남도,의령군,,48720.0,3047.0
4873000000,11751.0,3.0,2008,경상남도,함안군,,48730.0,3917.0
4874000000,14653.0,4.0,2008,경상남도,창녕군,,48740.0,3663.25
4882000000,12727.0,3.0,2008,경상남도,고성군,,48820.0,4242.333333333333
4884000000,14913.0,1.0,2008,경상남도,남해군,,48840.0,14913.0
4885000000,13074.0,2.0,2008,경상남도,하동군,,48850.0,6537.0
4886000000,10084.0,1.0,2008,경상남도,산청군,,48860.0,10084.0
4887000000,10973.0,1.0,2008,경상남도,함양군,,48870.0,10973.0
4888000000,13697.0,3.0,2008,경상남도,거창군,,48880.0,4565.666666666667
4889000000,15783.0,2.0,2008,경상남도,합천군,,48890.0,7891.5
