REG_DT,DTIN_NM,STTS_CD,FRST_WRT_YR,STATS_VL,WRTR_TELNO,RGTR_ID,WRT_DEPT_NM,ORGNL_PATH_CN,DTA_UNIT_NM,RW_STATS_ID,YR,MDFR_ID,DONG_CD,MDFCN_DT
0015/07/22 00:00:00,고령인구수,ST02,2007,36929,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,1168000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,41576,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,1171000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,31485,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,1174000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,345492,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2600000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,6852,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2611000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,17560,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2614000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,15061,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2617000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,19210,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2620000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,41069,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2623000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,25551,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2626000000,0016/01/29 00:00:00
